"Microchip","dftd","Sex","age","Weight","Headwidth","year","TrapID"
"982000365595384",0,"Male",14,7.2,99.8,2017,"FNP101"
"982000365595415",1,"Female",26,7,99.7,2017,"FNP042"
"982000365600324",0,"Male",14,6.8,102.7,2016,"FNP018"
"982000365601105",0,"Female",25,8.2,109.5,2018,"FNP077"
"982000365601105",0,"Female",19,6.2,106.5,2017,"FNP080"
"982000365601105",0,"Female",14,5.4,91.1,2017,"FNP082"
"982000365601105",0,"Female",31,7.8,112.7,2018,"FNP079"
"982000365601105",0,"Female",28,7.9,110.9,2018,"FNP078"
"982000365601169",1,"Male",21,9,117.1,2016,"FNP057"
"982000365601296",0,"Female",16,5.4,96.7,2018,"FNP020"
"982000365601326",0,"Female",15,5.8,92.4,2017,"FNP029"
"982000365601326",0,"Female",22,7.8,106,2018,"FNP081"
"982000365610133",1,"Female",22,7,96.5,2018,"FNP034"
"982000365610211",1,"Female",25,7.9,106.5,2018,"FNP101"
"982000365610211",1,"Female",22,8.3,105.3,2018,"FNP100"
"982000365610211",0,"Female",14,5.8,95.2,2017,"FNP101"
"982000402218247",0,"Male",14,6.2,96.5,2016,"FNP086"
"982000402218247",0,"Male",20,8.5,112.3,2016,"FNP034"
"982000402221904",0,"Female",40,9.7,111.7,2018,"FNP077"
"982000402221904",0,"Female",14,6.3,99.4,2016,"FNP077"
"982000402224974",0,"Female",27,6.1,102.4,2016,"FNP001"
"982000402226166",0,"Female",15,4.9,90.8,2016,"FNP026"
"982000402226166",1,"Female",40,8.3,102.9,2018,"FNP007"
"982000402226166",0,"Female",17,5,93.6,2016,"FNP003"
"982000402226625",1,"Female",46,9.8,107.4,2018,"FNP040"
"982000402226625",0,"Female",39,10,106.9,2017,"FNP019"
"982000402226625",0,"Female",32,8.3,110.9,2016,"FNP020"
"982000402226625",0,"Female",29,9,109.7,2016,"FNP006"
"982000402226625",0,"Female",43,7.8,107,2017,"FNP086"
"982000402226625",0,"Female",26,8.2,108.1,2016,"FNP016"
"982000405792193",1,"Female",23,5,97.4,2019,"FNP006"
"982000405792193",0,"Female",16,5.6,94.9,2018,"FNP005"
"982000405792810",0,"Female",28,7.4,103.2,2018,"FNP040"
"982000405792834",0,"Female",34,6.4,104.6,2021,"FNP103"
"982000405793918",1,"Female",19,6.2,101.6,2018,"FNP090"
"982000405793918",0,"Female",16,7.8,100.6,2018,"FNP082"
"982000405793937",1,"Male",31,10,120.6,2018,"FNP090"
"982000405794046",1,"Male",19,9.4,110.7,2018,"FNP099"
"982000405794291",1,"Female",20,6,94.5,2019,"FNP102"
"982000405794291",0,"Female",17,5.8,95.9,2019,"FNP100"
"982000405794538",0,"Male",16,8.7,108.8,2018,"FNP110"
"982000405794538",0,"Male",19,9.3,114.6,2018,"FNP111"
"982000405794578",0,"Male",24,11,121.7,2018,"FNP023"
"982000405794578",0,"Male",22,8.7,113.8,2018,"FNP028"
"982000405794578",1,"Male",28,10.6,119.3,2018,"FNP035"
"982000405794578",0,"Male",19,7.9,109.6,2017,"FNP028"
"982000405794607",0,"Male",16,5.2,94.4,2018,"FNP032"
"982000405794739",0,"Male",16,10.7,110.3,2018,"FNP108"
"982000405797178",1,"Female",23,6.1,103.8,2019,"FNP032"
"982000405826253",0,"Male",16,7.9,108.2,2018,"FNP037"
"982000405826253",0,"Male",19,9.4,114.7,2018,"FNP034"
"982000405827230",1,"Male",40,6.8,114.8,2018,"FNP035"
"982000405827230",1,"Male",37,9.4,113.6,2018,"FNP031"
"982000405828703",1,"Male",37,9.4,113.6,2018,"FNP031"
"982000405911197",0,"Male",16,8.8,108.2,2018,"FNP115"
"982000405915068",0,"Male",16,8,106.9,2018,"FNP001"
"982000405915074",1,"Female",23,5,99.8,2019,"FNP006"
"982000405915359",0,"Male",23,8,104.9,2019,"FNP006"
"982000405915359",0,"Male",16,5,89.4,2018,"FNP007"
"982000405915359",0,"Male",19,6.8,102.1,2018,"FNP018"
"982000405915380",0,"Female",16,6.6,100.3,2018,"FNP078"
"982000405915387",0,"Female",16,5.9,96.5,2018,"FNP102"
"982000405915387",1,"Female",29,6.7,96.8,2019,"FNP103"
"982000405915387",1,"Female",32,6.1,102.4,2019,"FNP103"
"982000405915390",0,"Male",19,7.9,110.9,2018,"FNP077"
"982000405975633",0,"Female",14,4.7,92.7,2020,"FNP089"
"982000405975633",0,"Female",19,5.9,102.3,2020,"FNP092"
"982000405975683",0,"Male",16,6.4,102.6,2020,"FNP035A"
"982000405975683",0,"Male",19,7.3,105.3,2020,"FNP037"
"982000405975816",0,"Male",16,7.5,108.8,2020,"FNP020"
"982000405975816",0,"Male",22,8.8,109.5,2021,"FNP011"
"982000405975816",0,"Male",19,8.5,108.3,2020,"FNP034"
"982000405975816",1,"Male",24,8.6,109.2,2021,"FNP039"
"982000405975816",0,"Male",21,8.3,111.7,2021,"FNP008"
"982000405977606",0,"Male",17,7.4,103.8,2020,"FNP100"
"982000405977606",0,"Male",22,8.7,111.1,2021,"FNP114"
"982000405977606",0,"Male",19,8,109.3,2020,"FNP111"
"982000405977606",0,"Male",21,9,111,2021,"FNP095"
"982000405977669",0,"Female",14,6.2,95.6,2020,"FNP096"
"982000405978024",0,"Female",21,5.5,102.3,2021,"FNP116"
"982000405978024",0,"Female",16,6,100.3,2020,"FNP031A"
"982000405978024",0,"Female",14,5.1,98.7,2020,"FNP078"
"982000405978502",0,"Female",16,5.8,95,2020,"FNP023"
"982000405978502",0,"Female",21,7.4,104.4,2021,"FNP024"
"982000405978511",0,"Male",14,5.7,93.3,2020,"FNP007"
"982000405978511",0,"Male",16,6.3,100.9,2020,"FNP014"
"982000405978511",0,"Male",23,8,109,2021,"FNP024A"
"982000405978550",0,"Male",17,7.1,108.2,2020,"FNP080"
"982000405978550",1,"Male",19,8.9,110.7,2020,"FNP079"
"982000405978712",1,"Male",16,7.4,106.4,2020,"FNP036"
"982000405978741",0,"Male",19,9,116.7,2020,"FNP100"
"982000405978741",0,"Male",14,7.4,106.1,2020,"FNP092"
"982000405978741",1,"Male",21,10.5,117.8,2021,"FNP103"
"982000405982391",0,"Female",14,6.6,102.7,2020,"FNP090"
"982000405982594",0,"Male",19,8.8,113.2,2020,"FNP116"
"982000405982594",0,"Male",14,6.8,101.1,2020,"FNP032A"
"982000405982701",1,"Female",21,6.9,103.6,2021,"FNP032A"
"982000405982701",0,"Female",16,6.4,99.3,2020,"FNP032"
"982000405982747",1,"Male",37,6.4,119.2,2021,"FNP032A"
"982000405982747",0,"Male",34,8.8,114.5,2021,"FNP032A"
"982000405982747",0,"Male",22,5.9,107,2020,"FNP040"
"982000405982747",0,"Male",20,6.7,102,2019,"FNP038"
"982000405982747",0,"Male",17,6,101.5,2019,"FNP017"
"982000405982775",0,"Female",16,5.8,92,2020,"FNP013"
"982000405982775",0,"Female",19,5.5,98.6,2020,"FNP023"
"982000405982845",0,"Male",14,6.5,99.5,2020,"FNP079"
"982000405982845",1,"Male",25,8.4,116.2,2021,"FNP031A"
"982000405982845",0,"Male",16,6.5,104.3,2020,"FNP078"
"982000405982861",0,"Female",16,5.9,100.3,2020,"FNP036"
"982000405982861",0,"Female",14,5.8,98.6,2020,"FNP032A"
"982000405982914",0,"Female",22,6.9,106.5,2021,"FNP083"
