"Microchip","Weight","Headwidth","age","Sex","Fhat3","year","TrapID"
"985120016062601",9.7,113.8,27,"Male",-0.047538,2004,"FNP086"
"985120016062601",10.1,122.2,31,"Male",-0.047538,2004,"FNP090"
"985120016062601",9.1,113.8,27,"Male",-0.047538,2004,"FNP086"
"985120016063435",6.9,103.5,27,"Female",0.020401,2004,"FNP105"
"985120016063435",6.9,103.5,27,"Female",0.020401,2004,"FNP124"
"985120016066498",6.59,90.8,14,"Female",-0.014962,2004,"FNP030"
"985120016069464",7.6,111.7,31,"Female",0.0524001,2004,"FNP031"
"985120016071738",5,94.8,26,"Female",0.000894813,2004,"FNP195"
"985120016077148",5.5,100,15,"Male",-0.0354548,2004,"FNP124"
"985120016077148",5.5,100,15,"Male",-0.0354548,2004,"FNP105"
"985120016078264",5.5,100.3,20,"Female",-0.110663,2004,"FNP097"
"985120016079298",6.3,103.8,27,"Male",-0.0686126,2005,"61"
"985120016079298",4.19,88.5,14,"Male",-0.0686126,2004,"FNP198"
"985120016079298",7.3,110,32,"Male",-0.0686126,2005,"FNP025"
"985120016080892",6.6,96,31,"Female",-0.0556954,2004,"FNP028"
"985120016080892",5.5,93.19,26,"Female",-0.0556954,2004,"FNP028"
"985120016086299",5.69,97.3,14,"Female",-0.0339134,2003,"FNP091"
"985120016086299",6.6,108.5,31,"Female",-0.0339134,2004,"FNP090"
"985120016086565",5.5,99.8,19,"Female",-0.0288211,2004,"FNP039"
"985120016086565",5.4,106.8,32,"Female",-0.0288211,2005,"FNP086"
"985120016086565",4.59,106,36,"Female",-0.0288211,2006,"FNP040"
"985120016086565",5.09,86.9,14,"Female",-0.0288211,2004,"FNP164"
"985120016087267",6.8,99.1,19,"Male",-0.0672931,2004,"FNP018"
"985120016087267",5,94.59,14,"Male",-0.0672931,2004,"FNP164"
"985120016087267",7.4,125,27,"Male",-0.0672931,2005,"FNP039"
"985120016099646",8.5,105,27,"Female",-0.052995,2004,"FNP040"
